datetime,latitude,longitude
2019/12/11 16:51:37.753,  35.63942980, 139.29624700
2019/12/11 16:51:38.733,  35.63942980, 139.29624700
2019/12/11 16:51:39.676,  35.63942980, 139.29624700
2019/12/11 16:51:40.774,  35.63942980, 139.29624700
2019/12/11 16:51:41.746,  35.63942980, 139.29624700
2019/12/11 16:51:42.760,  35.63942980, 139.29624700
2019/12/11 16:51:43.745,  35.63942980, 139.29624700
2019/12/11 16:51:44.744,  35.63942980, 139.29624700
2019/12/11 16:51:45.589,  35.63942980, 139.29624700
2019/12/11 16:51:45.741,  35.63942980, 139.29624700
2019/12/11 16:51:46.748,  35.63942980, 139.29624700
2019/12/11 16:51:47.756,  35.63942980, 139.29624700
2019/12/11 16:51:48.747,  35.63942980, 139.29624700
2019/12/11 16:51:49.757,  35.63942980, 139.29624700
2019/12/11 16:51:50.746,  35.63942980, 139.29624700
2019/12/11 16:51:51.453,  35.63942980, 139.29624700
2019/12/11 16:51:51.741,  35.63942980, 139.29624700
2019/12/11 16:51:52.758,  35.63942980, 139.29624700
2019/12/11 16:51:53.753,  35.63942980, 139.29624700
2019/12/11 16:51:54.743,  35.63942980, 139.29624700
2019/12/11 16:51:55.753,  35.63942980, 139.29624700
2019/12/11 16:51:56.743,  35.63942980, 139.29624700
2019/12/11 16:51:57.281,  35.63942980, 139.29624700
2019/12/11 16:51:57.746,  35.63942980, 139.29624700
2019/12/11 16:51:58.742,  35.63942980, 139.29624700
2019/12/11 16:51:59.746,  35.63942980, 139.29624700
2019/12/11 16:52:00.753,  35.63942980, 139.29624700
2019/12/11 16:52:01.776,  35.63942980, 139.29624700
2019/12/11 16:52:02.753,  35.63942980, 139.29624700
2019/12/11 16:52:03.188,  35.63942980, 139.29624700
2019/12/11 16:52:03.735,  35.63942980, 139.29624700
2019/12/11 16:52:04.750,  35.63942980, 139.29624700
2019/12/11 16:52:05.743,  35.63942980, 139.29624700
2019/12/11 16:52:06.748,  35.63942980, 139.29624700
2019/12/11 16:52:07.753,  35.63942980, 139.29624700
2019/12/11 16:52:08.776,  35.63942980, 139.29624700
2019/12/11 16:52:09.656,  35.63942980, 139.29624700
2019/12/11 16:52:09.741,  35.63942980, 139.29624700
2019/12/11 16:52:10.744,  35.63942980, 139.29624700
2019/12/11 16:52:11.749,  35.63942980, 139.29624700
2019/12/11 16:52:12.733,  35.63942980, 139.29624700
2019/12/11 16:52:13.748,  35.63942980, 139.29624700
2019/12/11 16:52:14.741,  35.63942980, 139.29624700
2019/12/11 16:52:15.545,  35.63942980, 139.29624700
2019/12/11 16:52:15.751,  35.63942980, 139.29624700
2019/12/11 16:52:16.753,  35.63942980, 139.29624700
2019/12/11 16:52:17.751,  35.63942980, 139.29624700
2019/12/11 16:52:18.752,  35.63942980, 139.29624700
2019/12/11 16:52:19.758,  35.63942980, 139.29624700
2019/12/11 16:52:20.745,  35.63942980, 139.29624700
2019/12/11 16:52:21.735,  35.63942980, 139.29624700
2019/12/11 16:52:22.751,  35.63942980, 139.29624700
2019/12/11 16:52:23.744,  35.63942980, 139.29624700
2019/12/11 16:52:24.748,  35.63942980, 139.29624700
2019/12/11 16:52:25.773,  35.63942980, 139.29624700
2019/12/11 16:52:26.744,  35.63942980, 139.29624700
2019/12/11 16:52:27.741,  35.63942980, 139.29624700
2019/12/11 16:52:28.743,  35.63942980, 139.29624700
2019/12/11 16:52:29.228,  35.63942960, 139.29624590
2019/12/11 16:52:29.727,  35.63942920, 139.29624350
