datetime,accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[rad/s],gyroY[rad/s],gyroZ[rad/s],angleX[rad],angleY[rad],angleZ[rad],step
2019/09/12 18:08:17.855,  -1.04320002,  -0.52209997,   0.15930000,  -1.52105439,   1.78983510,   0.42271873,   0.04921105,  -0.17503650,  -1.72140574,    1
2019/09/12 18:08:17.873,  -1.04320002,  -0.52209997,   0.15930000,  -1.47951555,   1.37444675,   0.30421090,   0.04921105,  -0.17503650,  -1.71156967,    1
2019/09/12 18:08:17.890,  -0.79659998,  -0.32659999,   1.61589992,  -1.16675258,   0.87598073,   0.18081611,   0.07947942,  -0.14754345,  -1.69340539,    1
2019/09/12 18:08:17.910,  -0.69720000,  -0.08380000,   3.06320000,  -0.57299161,   0.40194932,   0.04398230,   0.10152408,  -0.12210344,  -1.68124437,    1
2019/09/12 18:08:17.930,  -0.59959996,   0.20359999,   2.90909982,   0.08674286,   0.28710666,   0.00855211,   0.11300181,  -0.11413314,  -1.66672218,    1
2019/09/12 18:08:17.956,   0.15770000,   0.29699999,   0.95199996,   0.56077427,   0.38362336,   0.06841691,   0.09629817,  -0.09635668,  -1.65871823,    1
2019/09/12 18:08:17.973,   0.15770000,   0.29699999,   0.95199996,   0.69882983,   0.18203785,   0.13683382,   0.09629817,  -0.09635668,  -1.66412234,    1
2019/09/12 18:08:17.989,   0.31659999,   0.21149999,   0.33899999,   0.47647488,   0.12705997,   0.21258110,   0.08036893,  -0.09499729,  -1.66783834,    1
2019/09/12 18:08:18.010,   1.02090001,  -0.04340000,   0.72189999,   0.27977628,   0.52290064,   0.26755896,   0.07125714,  -0.09206674,  -1.66774106,    1
2019/09/12 18:08:18.031,   1.27380002,  -0.09810000,   0.50330001,   0.17470746,   0.48869219,   0.31642818,   0.06663731,  -0.09225320,  -1.67923355,    1
2019/09/12 18:08:18.058,   2.02779984,   0.24939999,   0.35900000,   0.17959438,   0.46303585,   0.27000242,   0.05798352,  -0.09028535,  -1.69371533,    1
2019/09/12 18:08:18.072,   2.02779984,   0.24939999,   0.35900000,   0.21991149,   0.52412236,   0.16615534,   0.05798352,  -0.09028535,  -1.69079757,    1
